Date,Confirmed,Recovered,Death,Active,Removed,,
14-Mar-20,7,0,0,7,0,,
15-Mar-20,7,0,0,7,0,,
16-Mar-20,7,0,0,7,0,,
17-Mar-20,10,0,0,10,0,,
18-Mar-20,11,0,0,11,0,,
19-Mar-20,14,0,0,14,0,,
20-Mar-20,20,0,0,20,0,,
21-Mar-20,27,0,0,27,0,,
22-Mar-20,28,0,0,28,0,,
23-Mar-20,30,0,0,30,0,,
24-Mar-20,30,0,0,30,0,,
25-Mar-20,35,0,0,35,0,,
26-Mar-20,39,0,0,39,0,,
27-Mar-20,40,0,0,40,0,,
28-Mar-20,49,0,0,49,0,,
29-Mar-20,72,6,2,64,8,,
30-Mar-20,97,6,2,89,8,,
31-Mar-20,120,6,2,112,8,,
01-Apr-20,152,6,2,144,8,,
02-Apr-20,293,8,4,281,12,,
03-Apr-20,386,8,6,372,14,,
04-Apr-20,445,16,6,423,22,,
05-Apr-20,503,16,7,480,23,,
06-Apr-20,525,16,7,502,23,,
07-Apr-20,576,20,9,547,29,,
08-Apr-20,669,21,9,639,30,,
09-Apr-20,720,25,12,683,37,,
10-Apr-20,903,27,14,862,41,,
11-Apr-20,1069,27,19,1023,46,,
12-Apr-20,1154,28,24,1102,52,,
13-Apr-20,1510,31,28,1451,59,,
14-Apr-20,1561,31,30,1500,61,,
15-Apr-20,1578,41,32,1505,73,,
16-Apr-20,1640,52,38,1550,90,,
17-Apr-20,1707,72,42,1593,114,,
18-Apr-20,1893,207,43,1643,250,,
19-Apr-20,2003,290,45,1668,335,,
20-Apr-20,2081,431,47,1603,478,,
21-Apr-20,2156,611,47,1498,658,,
22-Apr-20,2248,724,48,1476,772,,
23-Apr-20,2376,808,50,1518,858,,
24-Apr-20,2514,857,53,1604,910,,
25-Apr-20,2625,869,54,1702,923,,
26-Apr-20,2918,877,54,1987,931,,
27-Apr-20,3108,877,54,2177,931,,
28-Apr-20,3314,1078,54,2182,1132,,
29-Apr-20,3439,1092,56,2291,1148,,
30-Apr-20,3515,1094,59,2362,1153,,
01-May-20,3738,1167,61,2510,1228,,
02-May-20,4122,1256,64,2802,1320,,
03-May-20,4549,1362,64,3123,1426,,
04-May-20,4898,1431,64,3403,1495,,
05-May-20,5104,1468,64,3572,1532,,
06-May-20,5532,1542,65,3925,1607,,
07-May-20,5980,1931,66,3983,1997,,
08-May-20,6318,2020,68,4230,2088,,
09-May-20,6542,2020,68,4454,2088,,
10-May-20,6923,2069,73,4781,2142,,
11-May-20,7233,2129,73,5031,2202,,
12-May-20,7639,2512,86,5041,2598,,
13-May-20,7998,2858,106,5034,2964,,
14-May-20,8470,3045,115,5310,3160,,
15-May-20,8895,3518,123,5254,3641,,
16-May-20,9333,3926,129,5278,4055,,
17-May-20,9755,4202,148,5405,4350,,
18-May-20,10054,4485,160,5409,4645,,
19-May-20,10554,4750,166,5638,4916,,
20-May-20,11088,5192,176,5720,5368,,
21-May-20,11659,5567,194,5898,5761,,
22-May-20,12319,5897,208,6214,6105,,
23-May-20,12910,6267,231,6412,6498,,
24-May-20,13418,6540,261,6617,6801,,
25-May-20,14053,6771,276,7006,7047,,
26-May-20,14465,6954,288,7223,7242,,
27-May-20,15257,7264,303,7690,7567,,
28-May-20,16281,7495,316,8470,7811,,
29-May-20,17386,7846,398,9142,8244,,
30-May-20,18549,8075,416,10058,8491,,
31-May-20,19844,8478,473,10893,8951,,
01-Jun-20,20834,8746,523,11565,9269,,
02-Jun-20,22132,9243,556,12333,9799,,
03-Jun-20,23645,9542,615,13488,10157,,
04-Jun-20,25004,9898,659,14447,10557,,
05-Jun-20,26334,10315,708,15311,11023,,
06-Jun-20,27654,10664,761,16229,11425,,
07-Jun-20,28936,10999,812,17125,11811,,
08-Jun-20,29943,11357,874,17712,12231,,
09-Jun-20,31309,11861,905,18543,12766,,
10-Jun-20,32810,12245,984,19581,13229,,
11-Jun-20,34687,12731,1085,20871,13816,,
12-Jun-20,36824,13398,1214,22212,14612,,
13-Jun-20,38958,14945,1271,22742,16216,,
14-Jun-20,41182,15823,1327,24032,17150,,
15-Jun-20,42829,16427,1400,25002,17827,,
16-Jun-20,44688,16500,1837,26351,18337,,
17-Jun-20,47102,17457,1904,27741,19361,,
18-Jun-20,49979,21341,1969,26669,23310,,
19-Jun-20,53116,23569,2035,27512,25604,,
20-Jun-20,56746,31294,2112,23340,33406,,
21-Jun-20,59746,33013,2175,24558,35188,,
22-Jun-20,62655,36602,2233,23820,38835,,
23-Jun-20,66602,39313,2301,24988,41614,,
24-Jun-20,70390,41437,2365,26588,43802,,
25-Jun-20,73780,44765,2429,26586,47194,,
26-Jun-20,77240,47091,2492,27657,49583,,
27-Jun-20,80188,49301,2558,28329,51859,,
28-Jun-20,83077,52607,2623,27847,55230,,
29-Jun-20,85161,56235,2680,26246,58915,,
30-Jun-20,87360,58348,2742,26270,61090,,
01-Jul-20,89802,59992,2803,27007,62795,,
02-Jul-20,92175,63007,2864,26304,65871,,
03-Jul-20,94695,65624,2923,26148,68547,,
04-Jul-20,97200,68256,3004,25940,71260,,
05-Jul-20,99444,71339,3067,25038,74406,,
06-Jul-20,100823,72088,3115,25620,75203,,
07-Jul-20,102831,74217,3165,25449,77382,,
08-Jul-20,104864,78199,3213,23452,81412,,
09-Jul-20,107051,82226,3258,21567,85484,,
10-Jul-20,109140,84694,3300,21146,87994,,
11-Jul-20,110921,87692,3334,19895,91026,,
12-Jul-20,112494,89968,3371,19155,93339,,
13-Jul-20,113740,91312,3411,19017,94723,,
14-Jul-20,115346,93236,3446,18664,96682,,
15-Jul-20,116993,95699,3487,17807,99186,,
16-Jul-20,118645,97693,3545,17407,101238,,
17-Jul-20,120107,99301,3571,17235,102872,,
18-Jul-20,121582,101274,3597,16711,104871,,
19-Jul-20,122793,103134,3628,16031,106762,,
20-Jul-20,123747,104918,3663,15166,108581,,
21-Jul-20,125096,106118,3690,15288,109808,,
22-Jul-20,126323,107650,3719,14954,111369,,
23-Jul-20,127364,109065,3745,14554,112810,,
