Date,Confirmed,Recovered,Deceased,Active,,
04-May,7,7,0,0,,
05-May,7,7,0,0,,
06-May,7,7,0,0,,
07-May,7,7,0,0,,
08-May,7,7,0,0,,
09-May,7,7,0,0,,
10-May,7,7,0,0,,
11-May,7,7,0,0,,
12-May,7,7,0,0,,
13-May,7,7,0,0,,
14-May,15,7,0,8,,
15-May,15,7,0,8,,
16-May,20,7,0,13,,
17-May,29,7,0,22,,
18-May,38,7,0,31,,
19-May,46,7,0,39,,
20-May,50,7,0,43,,
21-May,52,7,0,45,,
22-May,54,16,0,38,,
23-May,55,16,0,39,,
24-May,66,16,0,50,,
25-May,67,19,0,48,,
26-May,67,28,0,39,,
27-May,68,37,0,31,,
28-May,69,38,0,31,,
29-May,69,41,0,28,,
30-May,70,42,0,28,,
31-May,71,44,0,27,,
01-Jun,73,50,0,23,,
02-Jun,79,57,0,22,,
03-Jun,126,57,0,69,,
04-Jun,166,57,0,109,,
05-Jun,196,65,0,131,,
06-Jun,267,65,0,202,,
07-Jun,300,65,0,235,,
08-Jun,330,67,0,263,,
09-Jun,359,67,0,292,,
10-Jun,387,67,0,320,,
11-Jun,417,67,0,350,,
12-Jun,463,69,0,394,,
13-Jun,523,70,0,453,,
14-Jun,564,74,0,490,,
15-Jun,592,85,0,507,,
16-Jun,629,85,0,544,,
17-Jun,656,96,0,560,,
18-Jun,705,109,0,596,,
19-Jun,725,118,0,607,,
20-Jun,754,129,0,625,,
21-Jun,818,135,0,683,,
22-Jun,864,152,1,711,,
23-Jun,909,205,2,702,,
24-Jun,951,289,2,660,,
25-Jun,995,335,2,658,,
26-Jun,1039,370,2,667,,
27-Jun,1128,420,2,706,,
28-Jun,1198,478,3,717,,
29-Jun,1251,524,3,724,,
30-Jun,1315,596,3,716,,
01-Jul,1387,670,4,713,,
02-Jul,1482,734,4,744,,
03-Jul,1576,772,4,800,,
04-Jul,1684,825,6,853,,
05-Jul,1761,936,7,818,,
06-Jul,1813,1061,7,745,,
07-Jul,1903,1156,8,739,,
08-Jul,2039,1207,8,824,,
09-Jul,2151,1273,9,869,,
10-Jul,2251,1347,9,895,,
11-Jul,2368,1428,12,928,,
12-Jul,2453,1487,14,952,,
13-Jul,2583,1540,17,1026,,
14-Jul,2753,1607,18,1128,,
15-Jul,2951,1674,18,1259,,
16-Jul,3108,1817,19,1272,,
17-Jul,3304,1946,21,1337,,
18-Jul,3484,2038,21,1425,,
19-Jul,3657,2218,22,1417,,
20-Jul,3853,2361,23,1469,,
21-Jul,4027,2449,26,1552,,
22-Jul,4176,2541,28,1607,,
23-Jul,4350,2655,29,1666,,
24-Jul,4540,2865,29,1646,,
25-Jul,4686,3047,33,1606,,
26-Jul,4861,3277,35,1549,,
27-Jul,5119,3410,36,1673,,
28-Jul,5287,3595,36,1656,,
29-Jul,5489,3784,39,1666,,
30-Jul,5704,4005,42,1657,,
31-Jul,5913,4211,45,1657,,
